Fips,Area,2016Q1,2016Q2,2016Q3
1000,Alabama,202474,204120,206360
2000,Alaska,50008,50961,51541
4000,Arizona,296101,299809,303007
5000,Arkansas,121167,122230,123100
6000,California,2536893,2562217,2589628
8000,Colorado,316443,319939,325447
9000,Connecticut,255461,257822,261041
10000,Delaware,69937,70736,71882
11000,District of Columbia,125414,126484,128063
12000,Florida,913289,922577,933806
13000,Georgia,519628,522384,528111
15000,Hawaii,82856,83307,84065
16000,Idaho,66467,67280,68158
17000,Illinois,791714,797637,805876
18000,Indiana,341485,344225,348046
19000,Iowa,171414,172705,174980
20000,Kansas,150464,151884,153498
21000,Kentucky,193544,194921,196700
22000,Louisiana,234614,237460,239267
23000,Maine,58720,59066,59925
24000,Maryland,369056,371812,376010
25000,Massachusetts,494190,498685,505121
26000,Michigan,477846,482693,488864
27000,Minnesota,324475,326037,330142
28000,Mississippi,108280,109015,110100
29000,Missouri,300335,303351,306883
30000,Montana,45370,45906,46301
31000,Nebraska,113711,115094,116146
32000,Nevada,142191,144094,146755
33000,New Hampshire,76420,77025,78017
34000,New Jersey,579103,584204,591600
35000,New Mexico,91021,92237,92867
36000,New York,1465941,1474777,1494116
37000,North Carolina,507120,511679,518611
38000,North Dakota,50638,50654,51507
39000,Ohio,615573,622294,630030
40000,Oklahoma,177861,179649,181381
41000,Oregon,226894,228617,231508
42000,Pennsylvania,709623,715389,723753
44000,Rhode Island,56746,57085,57815
45000,South Carolina,207142,208818,211298
46000,South Dakota,46767,46830,47722
47000,Tennessee,323821,326647,330072
48000,Texas,1605011,1625984,1654064
49000,Utah,151712,153997,156791
50000,Vermont,30734,30990,31370
51000,Virginia,488288,491580,496062
53000,Washington,465694,469945,474732
54000,West Virginia,71414,72651,73473
55000,Wisconsin,305807,308594,312110
56000,Wyoming,36567,37125,37641
Legend / Footnotes:,,,,
"Note-- For Levels: millions of dollars, seasonally adjusted at annual rates; for annualized percent change and compound growth rate: seasonally adjusted at annual rates; for percent change: seasonally adjusted at quarterly rates. NAICS Industry detail is based on the 2007 North American Industry Classification System (NAICS).",,,,
"Last updated: February 2, 2017-- new statistics for 2016:Q3.",,,,
